crate	lint	api	reason
boxddd	auto_trait_impl_removed	type SensorBeginTouch is no longer Send	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorBeginTouch is no longer Sync	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorBeginTouch is no longer UnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorEndIter is no longer RefUnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorEndIter is no longer Send	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorEndIter is no longer Sync	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorEndIter is no longer UnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorEndTouch is no longer RefUnwindSafe	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorEndTouch is no longer Send	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorEndTouch is no longer Sync	scoped_event_views
boxddd	auto_trait_impl_removed	type SensorEndTouch is no longer UnwindSafe	scoped_event_views
boxddd	constructible_struct_adds_field	field DebugDrawOptions.draw_sleep	debug_draw_assets
boxddd	constructible_struct_adds_private_field	field BodyId.owner	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field BodyId.raw	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field BodyId.resource	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ContactId.epoch	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ContactId.owner	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ContactId.raw	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ContactId.resource	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field JointId.owner	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field JointId.raw	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field JointId.resource	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ReplayWorldId.owner	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ReplayWorldId.raw	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ReplayWorldId.resource	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ShapeId.owner	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ShapeId.raw	owner_scoped_handles
boxddd	constructible_struct_adds_private_field	field ShapeId.resource	owner_scoped_handles
boxddd	derive_trait_impl_removed	type DynamicTreeProxyId no longer derives Ord	owner_scoped_handles
boxddd	derive_trait_impl_removed	type DynamicTreeProxyId no longer derives PartialOrd	owner_scoped_handles
boxddd	derive_trait_impl_removed	type Error no longer derives Copy	typed_error_model
boxddd	enum_discriminants_undefined_non_unit_variant	enum Error	typed_error_model
boxddd	enum_missing	enum boxddd::ApiError	typed_error_model
boxddd	enum_missing	enum boxddd::error::ApiError	typed_error_model
boxddd	enum_missing	enum boxddd::prelude::ApiError	typed_error_model
boxddd	enum_no_repr_variant_discriminant_changed	variant Error::CallbackPanicked 19 -> 9	typed_error_model
boxddd	enum_no_repr_variant_discriminant_changed	variant Error::CallbackSlotsExhausted 20 -> 10	typed_error_model
boxddd	enum_no_repr_variant_discriminant_changed	variant Error::InCallback 0 -> 3	typed_error_model
boxddd	enum_no_repr_variant_discriminant_changed	variant Error::ProviderCallbackFailed 21 -> 12	typed_error_model
boxddd	enum_no_repr_variant_discriminant_changed	variant Error::RecordingIoFailed 7 -> 6	typed_error_model
boxddd	enum_no_repr_variant_discriminant_changed	variant Error::UnsupportedOnWasm 18 -> 8	typed_error_model
boxddd	enum_variant_missing	variant Error::CreateBodyFailed	typed_error_model
boxddd	enum_variant_missing	variant Error::CreateDynamicTreeFailed	typed_error_model
boxddd	enum_variant_missing	variant Error::CreateRecPlayerFailed	typed_error_model
boxddd	enum_variant_missing	variant Error::CreateRecordingFailed	typed_error_model
boxddd	enum_variant_missing	variant Error::CreateShapeFailed	typed_error_model
boxddd	enum_variant_missing	variant Error::CreateWorldFailed	typed_error_model
boxddd	enum_variant_missing	variant Error::IndexOutOfRange	typed_error_model
boxddd	enum_variant_missing	variant Error::InvalidArgument	typed_error_model
boxddd	enum_variant_missing	variant Error::InvalidBodyId	typed_error_model
boxddd	enum_variant_missing	variant Error::InvalidContactId	typed_error_model
